"entry","primaryDataVersion","secondaryDataVersion","tertiaryDataVersion","studySiteID","sessionID","metricName","metricIdentifier","sampleTACR","populationTACR","zScoreInSample","zScoreInPopulation","tScoreInSample","tScoreInPopulation"
"18","0","0","0","debug","101a","TACR","0","-2.837185142743926","-2.252081450250472","-0.000000000000025757174171303632","-0.5851437579195478","49.999999999999744","44.148562420804524"
"60","0","0","0","test","fresh","TACR","0","-1.583934280251868","-1.0573841654760137","-1.1318487991351354","0.15690424504595427","38.681512008648646","51.56904245045954"
"73","0","0","0","VC","Barry","TACR","0","-2.0065840110622424","-1.2430534566611906","-0.00000000000004218847493575595","0.041581703937148724","49.99999999999958","50.41581703937149"
"74","0","0","0","test","Shinichi","TACR","0","-0.30266852329207816","0.36634267353864713","0.01274388973881187","1.0412066295271099","50.12743889738812","60.4120662952711"
"79","0","0","0","test","Barry","TACR","0","-1.5371667287347779","-0.9314827411785599","-1.090069958756217","0.235103887466733","39.09930041243783","52.35103887466733"
"80","0","0","0","example","ninja","TACR","0","-1.5371667287347779","-0.9314827411785599","0.13710998490570053","0.235103887466733","51.371099849057","52.35103887466733"
"83","0","0","0","example","hunter","TACR","0","0.710636300528156","1.3971005869534205","1.1007657394903765","1.6814289359959134","61.00765739490377","66.81428935995913"
"84","0","0","0","example","inventor","TACR","0","1.4109642349613194","1.4855263288738736","1.4010033649971863","1.7363517570645177","64.01003364997186","67.36351757064517"
"88","0","0","0","example","adventurer","TACR","0","-4.572291113039821","-2.345534772387152","-1.1640783490983193","-0.6431892996193489","38.359216509016804","43.56810700380651"
"89","0","0","0","example","astromancer","TACR","0","-4.572291113039821","-2.345534772387152","-1.1640783490983193","-0.6431892996193489","38.359216509016804","43.56810700380651"
"90","0","0","0","example","seeker","TACR","0","-2.58177105638582","-1.6276234251571506","-0.31072239119669526","-0.19728163053239164","46.892776088033045","48.02718369467608"
"91","0","0","0","test","Joanna","TACR","0","0.6817226408287631","1.2046842413096384","0.8921297028103689","1.5619156778320735","58.92129702810369","65.61915677832073"
"92","0","0","0","test","Alan","TACR","0","1.1573762397350391","1.6389487871061759","1.317045165342152","1.8316452093827178","63.17045165342152","68.31645209382718"
